serialno,rac1p,lanp,anc1p
2023GQ0010299,2,0.0,902
2023GQ0010310,1,0.0,50
2023GQ0010314,1,1200.0,22
2023GQ0010340,9,1200.0,902
2023GQ0010348,9,1200.0,210
2023GQ0010360,2,0.0,902
2023GQ0010363,9,1200.0,902
2023GQ0010377,1,0.0,50
2023GQ0010399,1,0.0,22
2023GQ0010402,9,0.0,218
2023GQ0010424,1,0.0,999
2023GQ0010432,1,0.0,51
2023GQ0010443,1,0.0,924
2023GQ0010449,2,0.0,999
2023GQ0010454,9,0.0,785
2023GQ0010455,1,0.0,999
2023GQ0010462,2,0.0,999
2023GQ0010469,9,1200.0,210
2023GQ0010490,2,0.0,902
2023GQ0010500,8,1200.0,999
2023GQ0010517,6,1350.0,615
2023GQ0010533,9,0.0,919
2023GQ0010552,9,1200.0,210
2023GQ0010577,2,0.0,903
2023GQ0010585,1,0.0,999
2023GQ0010586,1,0.0,999
2023GQ0010603,9,1200.0,210
2023GQ0010608,1,0.0,32
2023GQ0010643,2,0.0,902
2023GQ0010654,9,1200.0,210
2023GQ0010665,1,0.0,87
2023GQ0010683,2,0.0,902
2023GQ0010686,1,0.0,999
2023GQ0010692,2,0.0,902
2023GQ0010694,1,0.0,22
2023GQ0010722,9,1200.0,251
2023GQ0010725,1,0.0,999
2023GQ0010731,8,1350.0,918
2023GQ0010737,9,0.0,195
2023GQ0010739,1,0.0,999
2023GQ0010741,1,0.0,200
2023GQ0010742,1,0.0,999
2023GQ0010745,1,0.0,999
2023GQ0010766,2,0.0,999
2023GQ0010794,1,0.0,939
2023GQ0010799,9,1200.0,210
2023GQ0010823,2,0.0,999
2023GQ0010837,6,1960.0,785
2023GQ0010856,9,1200.0,210
2023GQ0010866,1,0.0,32
2023GQ0010874,1,1200.0,999
2023GQ0010879,1,0.0,82
2023GQ0010904,9,0.0,291
2023GQ0010907,7,0.0,815
2023GQ0010940,1,0.0,939
2023GQ0010952,9,0.0,210
2023GQ0010982,1,0.0,26
2023GQ0011009,1,0.0,999
2023GQ0011036,1,0.0,999
2023GQ0011050,2,0.0,999
2023GQ0011063,1,0.0,999
2023GQ0011087,1,0.0,999
2023GQ0011110,6,2430.0,776
2023GQ0011173,1,1200.0,210
2023GQ0011191,1,0.0,50
2023GQ0011224,9,0.0,785
2023GQ0011236,2,0.0,999
2023GQ0011263,1,0.0,999
2023GQ0011278,1,0.0,999
2023GQ0011309,2,0.0,902
2023GQ0011385,2,0.0,999
2023GQ0011386,1,0.0,999
2023GQ0011395,2,0.0,996
2023GQ0011420,2,0.0,902
2023GQ0011457,1,0.0,999
2023GQ0011487,1,0.0,999
2023GQ0011511,1,1200.0,999
2023GQ0011514,9,1200.0,210
2023GQ0011527,1,0.0,939
2023GQ0011531,9,1200.0,210
2023GQ0011571,6,0.0,720
2023GQ0011598,1,0.0,999
2023GQ0011600,1,0.0,142
2023GQ0011637,1,0.0,939
2023GQ0011642,1,0.0,924
2023GQ0011648,6,1450.0,615
2023GQ0011651,1,0.0,32
2023GQ0011685,1,0.0,20
2023GQ0011738,1,0.0,32
2023GQ0011740,1,0.0,999
2023GQ0011759,1,0.0,210
2023GQ0011771,2,0.0,902
2023GQ0011773,1,1200.0,210
2023GQ0011794,2,0.0,902
2023GQ0011821,1,0.0,142
2023GQ0011860,3,1200.0,226
2023GQ0011875,1,4500.0,402
2023GQ0011881,1,1200.0,999
2023GQ0011903,9,1200.0,210
2023GQ0011918,1,0.0,210
2023GQ0011942,2,0.0,902
2023GQ0011957,1,0.0,82
2023GQ0011961,1,0.0,999
2023GQ0011976,2,0.0,902
2023GQ0011987,9,1200.0,210
2023GQ0011991,9,1200.0,211
2023GQ0011993,5,0.0,999
2023GQ0012001,1,0.0,22
2023GQ0012019,2,0.0,902
2023GQ0012038,8,1200.0,210
2023GQ0012070,2,0.0,902
2023GQ0012072,2,0.0,902
2023GQ0012073,8,1200.0,999
2023GQ0012089,1,0.0,999
2023GQ0012103,1,1200.0,210
2023GQ0012105,9,1200.0,210
2023GQ0012129,2,0.0,902
2023GQ0012173,1,0.0,210
2023GQ0012178,1,0.0,999
2023GQ0012180,1,0.0,999
2023GQ0012186,2,0.0,902
2023GQ0012189,1,1200.0,999
2023GQ0012190,2,0.0,902
2023GQ0012192,2,0.0,902
2023GQ0012200,1,0.0,210
2023GQ0012202,8,1200.0,211
2023GQ0012204,1,0.0,50
2023GQ0012214,1,0.0,20
2023GQ0012234,2,0.0,903
2023GQ0012248,8,1200.0,290
2023GQ0012252,1,0.0,999
2023GQ0012254,1,0.0,32
2023GQ0012257,2,0.0,902
2023GQ0012269,1,0.0,32
2023GQ0012282,1,0.0,999
2023GQ0012292,1,0.0,32
2023GQ0012364,1,0.0,999
2023GQ0012370,1,0.0,924
2023GQ0012381,2,0.0,996
2023GQ0012391,1,1200.0,999
2023GQ0012398,9,0.0,210
2023GQ0012415,6,1360.0,795
2023GQ0012417,1,4500.0,402
2023GQ0012419,1,0.0,999
2023GQ0012424,6,1450.0,615
2023GQ0012470,1,0.0,924
2023GQ0012478,1,0.0,999
2023GQ0012486,9,1200.0,290
2023GQ0012519,2,0.0,553
2023GQ0012527,1,0.0,939
2023GQ0012531,8,1200.0,210
2023GQ0012538,2,0.0,902
2023GQ0012546,1,0.0,51
2023GQ0012554,1,1200.0,210
2023GQ0012590,1,0.0,939
2023GQ0012625,2,0.0,902
2023GQ0012636,1,0.0,22
2023GQ0012637,1,0.0,32
2023GQ0012640,1,0.0,32
2023GQ0012652,6,0.0,999
2023GQ0012663,1,1200.0,999
2023GQ0012665,1,0.0,87
2023GQ0012678,1,0.0,999
2023GQ0012687,9,1200.0,252
2023GQ0012717,1,0.0,148
2023GQ0012733,2,0.0,902
2023GQ0012750,1,0.0,22
2023GQ0012760,2,0.0,902
2023GQ0012769,1,0.0,999
2023GQ0012770,9,0.0,902
2023GQ0012785,1,0.0,999
2023GQ0012807,1,0.0,999
